APR DRG Code  APR DRG Description                                                                                                                                                                    
792           EXTENSIVE O.R. PROCEDURES FOR OTHER COMPLICATIONS OF TREATMENT                                                                                                                               1065
793           MODERATELY EXTENSIVE O.R. PROCEDURES FOR OTHER COMPLICATIONS OF TREATMENT                                                                                                                    1673
794           NON-EXTENSIVE O.R. PROCEDURES FOR OTHER COMPLICATIONS OF TREATMENT                                                                                                                            361
810           HEMORRHAGE OR HEMATOMA DUE TO COMPLICATION                                                                                                                                                   1326
811           ALLERGIC REACTIONS                                                                                                                                                                           1486
812           POISONING OF MEDICINAL AGENTS                                                                                                                                                                5993
813           OTHER COMPLICATIONS OF TREATMENT                                                                                                                                                             4339
815           OTHER INJURY, POISONING AND TOXIC EFFECT DIAGNOSES                                                                                                                                           1105
816           TOXIC EFFECTS OF NON-MEDICINAL SUBSTANCES                                                                                                                                                    4159
817           INTENTIONAL SELF-HARM AND ATTEMPTED SUICIDE                                                                                                                                                  4678
841           EXTENSIVE THIRD DEGREE BURNS WITH SKIN GRAFT                                                                                                                                                   36
842           BURNS WITH SKIN GRAFT EXCEPT EXTENSIVE THIRD DEGREE BURNS                                                                                                                                     582
843           EXTENSIVE THIRD DEGREE BURNS WITHOUT SKIN GRAFT                                                                                                                                               297
844           PARTIAL THICKNESS BURNS WITHOUT SKIN GRAFT                                                                                                                                                    984
850           PROCEDURE WITH DIAGNOSIS OF REHABILITATION, AFTERCARE OR OTHER CONTACT WITH HEALTH SERVICES                                                                                                  1369
860           REHABILITATION                                                                                                                                                                               6503
861           SIGNS, SYMPTOMS AND OTHER FACTORS INFLUENCING HEALTH STATUS                                                                                                                                  8359
862           OTHER AFTERCARE AND CONVALESCENCE                                                                                                                                                            9438
863           NEONATAL AFTERCARE                                                                                                                                                                            100
890           HIV WITH MULTIPLE MAJOR HIV RELATED CONDITIONS                                                                                                                                               2409
892           HIV WITH MAJOR HIV RELATED CONDITION                                                                                                                                                         1884
893           HIV WITH MULTIPLE SIGNIFICANT HIV RELATED CONDITIONS                                                                                                                                          638
894           HIV WITH ONE SIGNIFICANT HIV CONDITION OR WITHOUT SIGNIFICANT RELATED CONDITIONS                                                                                                              862
910           CRANIOTOMY FOR MULTIPLE SIGNIFICANT TRAUMA                                                                                                                                                    199
911           EXTENSIVE ABDOMINAL OR THORACIC PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA                                                                                                                    671
912           MUSCULOSKELETAL AND OTHER PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA                                                                                                                         2371
930           MULTIPLE SIGNIFICANT TRAUMA WITHOUT O.R. PROCEDURE                                                                                                                                           2280
950           EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS                                                                                                                                    3310
951           MODERATELY EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS                                                                                                                         4636
952           NON-EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS                                                                                                                                2207
955           PRINCIPAL DIAGNOSIS INVALID AS DISCHARGE DIAGNOSIS                                                                                                                                            485
956           UNGROUPABLE                                                                                                                                                                                   151
Name: count, dtype: int64
